clave,area,predio,PARCELA_MI,FRENTE,ED_PISOS_M,AREA_VIV_P,A max viv,COS_%_ou,RET_FRON,RET_LATE,RET_POST,D_VIV_HA,HAB_HA
101510228975.61356,687.2104404145082,1049.036717062635,1200.0,20.0,2.0,120.0,240.0,50.0,5.0,3.0,3.0,8.299999999999637,30.80000000000134
101540169515.1555,1438.8007217261902,222.00074404761904,1200.0,20.0,2.0,120.0,240.0,50.0,5.0,3.0,3.0,8.299999999999901,30.800000000000203
101550145647.56398,774.7839652448664,544.8783570300158,1200.0,20.0,2.0,120.0,240.0,50.0,5.0,3.0,3.0,8.299999999999716,30.800000000000995
101560103967.00462,1278.8833997864028,235.1624329159213,1200.0,20.0,2.0,120.0,240.0,50.0,5.0,3.0,3.0,8.299999999999573,30.800000000001614
101580104932.42648,1960.8682831050223,266.9168190127971,1200.0,20.0,2.0,120.0,240.0,50.0,5.0,3.0,3.0,8.300000000000043,30.79999999999959
101590128134.74063,1100.8523919308354,254.7041847041847,1200.0,20.0,2.0,120.0,240.0,50.0,5.0,3.0,3.0,8.300000000000106,30.799999999999603
101600153939.51129,1466.5876129518047,269.5335342878674,1200.0,20.0,2.0,120.0,240.0,50.0,5.0,3.0,3.0,8.29999999999959,30.80000000000154
101620112393.01901,1272.8153879178133,176.99048496009823,1200.0,20.0,2.0,120.0,240.0,50.0,5.0,3.0,3.0,8.299999999999532,30.800000000001795
101630242856.03314,1611.6615469613241,425.0939226519337,1200.0,20.0,2.0,120.0,240.0,50.0,5.0,3.0,3.0,8.300000000000084,30.799999999999695
101640093624.07231,2054.0237401129984,381.1344632768362,1200.0,20.0,2.0,120.0,240.0,50.0,5.0,3.0,3.0,8.300000000000122,30.79999999999953
101650146221.38646,948.6738427947599,348.0240174672489,1200.0,20.0,2.0,120.0,240.0,50.0,5.0,3.0,3.0,8.300000000000066,30.79999999999977
101660136832.3153,1299.8209028414312,221.35491276400367,1200.0,20.0,2.0,120.0,240.0,50.0,5.0,3.0,3.0,8.299999999999812,30.800000000001717
101670849517.43315,895.0848354209136,208.14335664335664,1200.0,20.0,2.0,120.0,240.0,50.0,5.0,3.0,3.0,8.299999999999518,30.80000000000185
101690146562.31699,1048.6551808706322,353.0626151012891,1200.0,20.0,2.0,120.0,240.0,50.0,5.0,3.0,3.0,8.29999999999979,30.80000000000068
101700273001.04906,1124.888820210938,416.8458420341481,1200.0,20.0,2.0,120.0,240.0,50.0,5.0,3.0,3.0,8.300000000001253,30.799999999995507
